Feature	HK_CF2	HK_CF35	HK_CF70	V_CF71	V_CF34	V_CF26
seastar_clc_contig_1	28	38	89	168	37	8
seastar_clc_contig_10	42	180	22	9518	2752	839
seastar_clc_contig_100	1235	6104	616	260	565	413
seastar_clc_contig_1000	8551	31946	4311	2043	3853	3070
seastar_clc_contig_10000	21	211	32	9	12	13
seastar_clc_contig_10001	54	365	90	44	227	89
seastar_clc_contig_10002	478	1267	185	38	61	80
seastar_clc_contig_10003	29	186	17	9	29	20
seastar_clc_contig_10004	19	92	4	8	25	6
seastar_clc_contig_10005	149	559	90	10	0	0
seastar_clc_contig_10006	10	36	1	3	0	2
seastar_clc_contig_10007	8	63	5	0	3	0
seastar_clc_contig_10008	22	208	20	8	3	29
seastar_clc_contig_10009	25	461	15	6	7	9
seastar_clc_contig_1001	1187	4185	808	343	526	414
seastar_clc_contig_10010	4	14	0	6	16	4
seastar_clc_contig_10011	64	303	24	14	18	13
seastar_clc_contig_10012	46	462	47	40	61	45
seastar_clc_contig_10013	535	1591	301	27	29	46
seastar_clc_contig_10014	65	196	79	53	21	23
seastar_clc_contig_10015	99	645	93	24	41	47
seastar_clc_contig_10016	3	115	12	9	21	7
seastar_clc_contig_10017	27	268	7	30	41	12
seastar_clc_contig_10018	77	610	43	12	39	16
seastar_clc_contig_10019	6	75	9	5	8	11
seastar_clc_contig_1002	0	0	0	34	0	0
seastar_clc_contig_10020	82	303	50	10	34	22
seastar_clc_contig_10021	17	266	9	9	22	17
seastar_clc_contig_10022	1	42	1	6	5	4
seastar_clc_contig_10023	14	244	2	4	8	6
seastar_clc_contig_10024	39	601	12	4	7	3
seastar_clc_contig_10025	24	248	14	8	1	11
seastar_clc_contig_10026	9	87	11	6	19	15
seastar_clc_contig_10027	569	2556	491	166	466	227
seastar_clc_contig_10028	0	6	2	5	0	0
seastar_clc_contig_10029	103	367	42	1	5	38
seastar_clc_contig_1003	198	736	94	58	89	82
seastar_clc_contig_10030	20	264	6	23	39	11
seastar_clc_contig_10031	26	184	30	13	22	5
seastar_clc_contig_10032	254	668	120	19	89	36
seastar_clc_contig_10033	1	191	19	2	16	7
seastar_clc_contig_10034	105	974	23	17	21	19
seastar_clc_contig_10035	58	249	36	15	60	17
seastar_clc_contig_10036	5	202	7	0	1	2
seastar_clc_contig_10037	39	180	44	14	54	13
seastar_clc_contig_10038	25	153	15	13	21	19
seastar_clc_contig_10039	38	230	24	9	2	6
seastar_clc_contig_1004	843	3793	699	663	709	523
seastar_clc_contig_10040	35	442	31	21	30	24
seastar_clc_contig_10041	32	547	66	4	2	20
seastar_clc_contig_10042	61	341	31	7	23	11
seastar_clc_contig_10043	649	2512	356	102	297	191
seastar_clc_contig_10044	32	466	17	17	42	8
seastar_clc_contig_10045	7	15	12	49	20	56
seastar_clc_contig_10046	18	140	6	9	11	9
seastar_clc_contig_10047	4	19	5	4	9	6
