UNIPROT_ACCESSION	Name	Species
Q62760	translocase of outer mitochondrial membrane 20 homolog (yeast)	Rattus norvegicus
Q6PC91	similar to basic transcription factor 3-like 4; basic transcription factor 3-like 4	Danio rerio
Q5XIR6	IQ motif containing D	Rattus norvegicus
Q29RV1	protein disulfide isomerase family A, member 4	Bos taurus
P19440	gamma-glutamyltransferase light chain 3; gamma-glutamyltransferase 4 pseudogene; gamma-glutamyltransferase 2; gamma-glutamyltransferase 1; gamma-glutamyltransferase light chain 5 pseudogene	Homo sapiens
P50169	retinol dehydrogenase 7	Rattus norvegicus
Q6P8E9	NHP2-like protein 1	Xenopus (Silurana) tropicalis
P96202	Rv2933; MRA_2959	Mycobacterium tuberculosis
P40937	replication factor C (activator 1) 5, 36.5kDa	Homo sapiens
Q6PBA2	LSM12 homolog (S. cerevisiae)	Danio rerio
Q3SYS9	KIAA1279	Bos taurus
Q8BZQ7	anaphase promoting complex subunit 2	Mus musculus
Q7TNG8	lactate dehydrogenase D	Mus musculus
P41743	protein kinase C, iota	Homo sapiens
O54715	ATPase, H+ transporting, lysosomal accessory protein 1	Rattus norvegicus
P11501	heat shock protein 90kDa alpha (cytosolic), class A member 1	Gallus gallus
Q91V16	LYR motif containing 5	Mus musculus
Q3UKU1	elongation factor RNA polymerase II 2	Mus musculus
Q7Z2H8	solute carrier family 36 (proton/amino acid symporter), member 1	Homo sapiens
Q9N0P9	pim-1 oncogene	Bos taurus
O43679	LIM domain binding 2	Homo sapiens
Q9DAK2	PARK2 co-regulated	Mus musculus
Q9EQJ0	two pore channel 1	Mus musculus
Q503Y7	similar to Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (Rotamase Pin4) (PPIase Pin4) (Parvulin 14) (Par14) (Peptidyl-prolyl cis/trans isomerase EPVH) (hPar14); zgc:110008	Danio rerio
Q8BMN4	leishmanolysin-like (metallopeptidase M8 family)	Mus musculus
P28863	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	Oryctolagus cuniculus
Q1LZI2	solute carrier family 35, member F3	Mus musculus
B3STU3	ChaC, cation transport regulator homolog 1 (E. coli)	Rattus norvegicus
Q503L9	nucleoredoxin	Danio rerio
P49138	MAP kinase-activated protein kinase 2	Mus musculus
Q9W2N0	capping protein alpha	Drosophila melanogaster
Q2IBC0	Hepatocyte growth factor receptor	Rhinolophus ferrumequinum
O43426	synaptojanin 1	Homo sapiens
Q80W94	monoacylglycerol O-acyltransferase 2	Mus musculus
Q6PEC4	S-phase kinase-associated protein 1	Rattus norvegicus
C3YWU0	BRAFLDRAFT_56888	Branchiostoma floridae
